2025-04-03T22:24:38.905+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:24:23.626996+00:00 [queued]>
2025-04-03T22:24:38.917+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:24:23.626996+00:00 [queued]>
2025-04-03T22:24:38.917+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:24:38.949+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:24:23.626996+00:00
2025-04-03T22:24:38.997+0000 [INFO] Started process 159 to run task
2025-04-03T22:24:39.005+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:24:23.626996+00:00', '--job-id', '40', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp017m6lup']
2025-04-03T22:24:39.008+0000 [INFO] Job 40: Subtask processing.extract
2025-04-03T22:24:39.117+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:24:23.626996+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:24:39.948+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:24:23.626996+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T22:24:23.626996+00:00'
2025-04-03T22:24:40.115+0000 [WARNING] Line 608 has 26 fields - truncating to 14
2025-04-03T22:24:40.115+0000 [WARNING] Line 609 has 18 fields - truncating to 14
2025-04-03T22:24:40.116+0000 [WARNING] Line 610 has 18 fields - truncating to 14
2025-04-03T22:24:40.116+0000 [WARNING] Line 611 has 18 fields - truncating to 14
2025-04-03T22:24:40.116+0000 [WARNING] Line 612 has 18 fields - truncating to 14
2025-04-03T22:24:40.117+0000 [WARNING] Line 613 has 18 fields - truncating to 14
2025-04-03T22:24:40.117+0000 [WARNING] Line 614 has 18 fields - truncating to 14
2025-04-03T22:24:40.117+0000 [WARNING] Line 615 has 18 fields - truncating to 14
2025-04-03T22:24:40.117+0000 [WARNING] Line 616 has 18 fields - truncating to 14
2025-04-03T22:24:40.117+0000 [WARNING] Line 617 has 18 fields - truncating to 14
2025-04-03T22:24:40.118+0000 [WARNING] Line 618 has 18 fields - truncating to 14
2025-04-03T22:24:40.118+0000 [WARNING] Line 619 has 18 fields - truncating to 14
2025-04-03T22:24:40.118+0000 [WARNING] Line 620 has 18 fields - truncating to 14
2025-04-03T22:24:40.118+0000 [WARNING] Line 621 has 18 fields - truncating to 14
2025-04-03T22:24:40.118+0000 [WARNING] Line 622 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 623 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 624 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 625 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 626 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 627 has 18 fields - truncating to 14
2025-04-03T22:24:40.119+0000 [WARNING] Line 628 has 18 fields - truncating to 14
2025-04-03T22:24:40.120+0000 [WARNING] Line 629 has 18 fields - truncating to 14
2025-04-03T22:24:40.120+0000 [WARNING] Line 630 has 18 fields - truncating to 14
2025-04-03T22:24:40.120+0000 [WARNING] Line 631 has 18 fields - truncating to 14
2025-04-03T22:24:40.120+0000 [WARNING] Line 632 has 18 fields - truncating to 14
2025-04-03T22:24:40.120+0000 [WARNING] Line 633 has 18 fields - truncating to 14
2025-04-03T22:24:40.121+0000 [WARNING] Line 634 has 18 fields - truncating to 14
2025-04-03T22:24:40.121+0000 [WARNING] Line 635 has 18 fields - truncating to 14
2025-04-03T22:24:40.121+0000 [WARNING] Line 636 has 18 fields - truncating to 14
2025-04-03T22:24:40.121+0000 [WARNING] Line 637 has 18 fields - truncating to 14
2025-04-03T22:24:40.122+0000 [WARNING] Line 638 has 18 fields - truncating to 14
2025-04-03T22:24:40.122+0000 [WARNING] Line 639 has 18 fields - truncating to 14
2025-04-03T22:24:40.122+0000 [WARNING] Line 640 has 18 fields - truncating to 14
2025-04-03T22:24:40.122+0000 [WARNING] Line 641 has 18 fields - truncating to 14
2025-04-03T22:24:40.123+0000 [WARNING] Line 642 has 18 fields - truncating to 14
2025-04-03T22:24:40.123+0000 [WARNING] Line 643 has 18 fields - truncating to 14
2025-04-03T22:24:40.123+0000 [WARNING] Line 644 has 18 fields - truncating to 14
2025-04-03T22:24:40.123+0000 [WARNING] Line 645 has 18 fields - truncating to 14
2025-04-03T22:24:40.123+0000 [WARNING] Line 646 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 647 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 648 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 649 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 650 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 651 has 18 fields - truncating to 14
2025-04-03T22:24:40.124+0000 [WARNING] Line 652 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 653 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 654 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 655 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 656 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 657 has 18 fields - truncating to 14
2025-04-03T22:24:40.125+0000 [WARNING] Line 658 has 18 fields - truncating to 14
2025-04-03T22:24:40.126+0000 [WARNING] Line 659 has 18 fields - truncating to 14
2025-04-03T22:24:40.126+0000 [WARNING] Line 660 has 18 fields - truncating to 14
2025-04-03T22:24:40.126+0000 [WARNING] Line 661 has 18 fields - truncating to 14
2025-04-03T22:24:40.126+0000 [WARNING] Line 662 has 18 fields - truncating to 14
2025-04-03T22:24:40.126+0000 [WARNING] Line 663 has 18 fields - truncating to 14
2025-04-03T22:24:40.127+0000 [WARNING] Line 664 has 18 fields - truncating to 14
2025-04-03T22:24:40.128+0000 [WARNING] Line 665 has 18 fields - truncating to 14
2025-04-03T22:24:40.128+0000 [WARNING] Line 666 has 18 fields - truncating to 14
2025-04-03T22:24:40.128+0000 [WARNING] Line 667 has 18 fields - truncating to 14
2025-04-03T22:24:40.128+0000 [WARNING] Line 668 has 18 fields - truncating to 14
2025-04-03T22:24:40.129+0000 [WARNING] Line 669 has 18 fields - truncating to 14
2025-04-03T22:24:40.130+0000 [WARNING] Line 670 has 18 fields - truncating to 14
