2025-04-03T22:34:39.910+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:34:34.412418+00:00 [queued]>
2025-04-03T22:34:39.922+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:34:34.412418+00:00 [queued]>
2025-04-03T22:34:39.923+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:34:39.934+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:34:34.412418+00:00
2025-04-03T22:34:39.945+0000 [INFO] Started process 1220 to run task
2025-04-03T22:34:40.000+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:34:34.412418+00:00', '--job-id', '394', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpxhupkevz']
2025-04-03T22:34:40.006+0000 [INFO] Job 394: Subtask processing.extract
2025-04-03T22:34:40.101+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:34:34.412418+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:34:40.736+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:34:34.412418+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T22:34:34.412418+00:00'
2025-04-03T22:34:40.773+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:34:40.777+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:34:40.777+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:34:40.778+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:34:40.792+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:34:40.793+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:34:40.793+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:34:40.794+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:34:40.795+0000 [WARNING] Line 13 has 18 fields - truncating to 14
