2025-04-03T22:35:47.405+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:35:38.690435+00:00 [queued]>
2025-04-03T22:35:47.426+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:35:38.690435+00:00 [queued]>
2025-04-03T22:35:47.426+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:35:47.437+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:35:38.690435+00:00
2025-04-03T22:35:47.441+0000 [INFO] Started process 1283 to run task
2025-04-03T22:35:47.445+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:35:38.690435+00:00', '--job-id', '415', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmprbib4rq1']
2025-04-03T22:35:47.447+0000 [INFO] Job 415: Subtask processing.extract
2025-04-03T22:35:47.550+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:35:38.690435+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:35:48.528+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:35:38.690435+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T22:35:38.690435+00:00'
2025-04-03T22:35:48.740+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:35:48.748+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:35:48.750+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:35:48.751+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:35:48.792+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:35:48.793+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:35:48.793+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:35:48.797+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:35:48.798+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:35:48.799+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:35:48.800+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:35:48.801+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:35:48.802+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:35:48.807+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:35:48.810+0000 [WARNING] Line 19 has 18 fields - truncating to 14
