2025-04-03T22:36:17.917+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [queued]>
2025-04-03T22:36:17.929+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [queued]>
2025-04-03T22:36:17.930+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:36:17.939+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:36:03.698396+00:00
2025-04-03T22:36:17.946+0000 [INFO] Started process 1362 to run task
2025-04-03T22:36:17.950+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:36:03.698396+00:00', '--job-id', '440', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpk2vvou0h']
2025-04-03T22:36:17.952+0000 [INFO] Job 440: Subtask processing.extract
2025-04-03T22:36:18.015+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:36:03.698396+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:36:19.914+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:36:03.698396+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T22:36:03.698396+00:00'
2025-04-03T22:36:20.018+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:36:20.022+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:36:20.024+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:36:20.025+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:36:20.026+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:36:20.027+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:36:20.027+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:36:20.028+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:36:20.028+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:36:20.028+0000 [WARNING] Line 14 has 18 fields - truncating to 14
