2025-04-03T22:37:54.728+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:28.794923+00:00 [queued]>
2025-04-03T22:37:54.736+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:28.794923+00:00 [queued]>
2025-04-03T22:37:54.736+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:37:54.744+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:37:28.794923+00:00
2025-04-03T22:37:54.748+0000 [INFO] Started process 1596 to run task
2025-04-03T22:37:54.751+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-03T22:37:28.794923+00:00', '--job-id', '518', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp1uqrynig']
2025-04-03T22:37:54.752+0000 [INFO] Job 518: Subtask processing.extract
2025-04-03T22:37:54.842+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-03T22:37:28.794923+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:37:55.846+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:37:28.794923+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T22:37:28.794923+00:00'
2025-04-03T22:37:55.918+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:37:55.926+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:37:55.927+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:37:55.928+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:37:55.928+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:37:55.929+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:37:55.930+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:37:55.931+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:37:55.932+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:37:55.932+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:37:55.934+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:37:55.935+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:37:55.935+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:37:55.936+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:37:55.936+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-03T22:37:55.936+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-03T22:37:55.937+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:37:55.937+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:37:55.937+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:37:55.938+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:37:55.938+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:37:55.938+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:37:55.939+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:37:55.940+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:37:55.941+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:37:55.941+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:37:55.942+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:37:55.943+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-03T22:37:55.943+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-03T22:37:55.944+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-03T22:37:55.945+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-03T22:37:55.946+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:37:55.985+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:37:55.986+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:37:55.987+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:37:55.988+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:37:55.989+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:37:55.990+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:37:55.990+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:37:55.990+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:37:55.990+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:37:55.990+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:37:55.991+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:37:55.991+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:37:55.991+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:37:55.991+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:37:55.992+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:37:55.992+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:37:55.993+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:37:55.993+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:37:55.993+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:37:55.994+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:37:55.994+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:37:55.995+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-03T22:37:55.995+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-03T22:37:55.995+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:37:55.995+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:37:55.996+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:37:55.997+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:37:55.997+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:37:55.998+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:37:55.998+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:37:55.999+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:37:56.000+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:37:56.000+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:37:56.001+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:37:56.001+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:37:56.002+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:37:56.002+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:37:56.003+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:37:56.003+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:37:56.004+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:37:56.005+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:37:56.005+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:37:56.006+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:37:56.006+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:37:56.007+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:37:56.008+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:37:56.008+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:37:56.010+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:37:56.011+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:37:56.011+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:37:56.012+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:37:56.012+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:37:56.013+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:37:56.013+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:37:56.014+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:37:56.015+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:37:56.015+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:37:56.016+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:37:56.016+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-03T22:37:56.017+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-03T22:37:56.018+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-03T22:37:56.019+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-03T22:37:56.020+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:37:56.021+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:37:56.022+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-03T22:37:56.022+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-03T22:37:56.022+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-03T22:37:56.023+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-03T22:37:56.023+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:37:56.023+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:37:56.024+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:37:56.024+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:37:56.024+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:37:56.025+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:37:56.025+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:37:56.025+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:37:56.025+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:37:56.026+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-03T22:37:56.026+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-03T22:37:56.026+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-03T22:37:56.026+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-03T22:37:56.026+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-03T22:37:56.027+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-03T22:37:56.027+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-03T22:37:56.027+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-03T22:37:56.027+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-03T22:37:56.028+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-03T22:37:56.028+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-03T22:37:56.028+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-03T22:37:56.028+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-03T22:37:56.029+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-03T22:37:56.030+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-03T22:37:56.030+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-03T22:37:56.031+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-03T22:37:56.031+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-03T22:37:56.032+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-03T22:37:56.032+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-03T22:37:56.032+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-03T22:37:56.033+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-03T22:37:56.034+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-03T22:37:56.035+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-03T22:37:56.035+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-03T22:37:56.036+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-03T22:37:56.037+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-03T22:37:56.037+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-03T22:37:56.037+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-03T22:37:56.038+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-03T22:37:56.039+0000 [WARNING] Line 144 has 18 fields - truncating to 14
2025-04-03T22:37:56.039+0000 [WARNING] Line 145 has 18 fields - truncating to 14
2025-04-03T22:37:56.040+0000 [WARNING] Line 146 has 18 fields - truncating to 14
2025-04-03T22:37:56.040+0000 [WARNING] Line 147 has 18 fields - truncating to 14
2025-04-03T22:37:56.087+0000 [WARNING] Line 148 has 18 fields - truncating to 14
2025-04-03T22:37:56.088+0000 [WARNING] Line 149 has 18 fields - truncating to 14
2025-04-03T22:37:56.088+0000 [WARNING] Line 150 has 18 fields - truncating to 14
2025-04-03T22:37:56.088+0000 [WARNING] Line 151 has 18 fields - truncating to 14
2025-04-03T22:37:56.089+0000 [WARNING] Line 152 has 18 fields - truncating to 14
2025-04-03T22:37:56.089+0000 [WARNING] Line 153 has 18 fields - truncating to 14
2025-04-03T22:37:56.089+0000 [WARNING] Line 154 has 18 fields - truncating to 14
2025-04-03T22:37:56.091+0000 [WARNING] Line 155 has 18 fields - truncating to 14
2025-04-03T22:37:56.092+0000 [WARNING] Line 156 has 18 fields - truncating to 14
2025-04-03T22:37:56.092+0000 [WARNING] Line 157 has 18 fields - truncating to 14
2025-04-03T22:37:56.093+0000 [WARNING] Line 158 has 18 fields - truncating to 14
2025-04-03T22:37:56.093+0000 [WARNING] Line 159 has 18 fields - truncating to 14
2025-04-03T22:37:56.093+0000 [WARNING] Line 160 has 18 fields - truncating to 14
2025-04-03T22:37:56.094+0000 [WARNING] Line 161 has 18 fields - truncating to 14
2025-04-03T22:37:56.094+0000 [WARNING] Line 162 has 18 fields - truncating to 14
2025-04-03T22:37:56.095+0000 [WARNING] Line 163 has 18 fields - truncating to 14
2025-04-03T22:37:56.095+0000 [WARNING] Line 164 has 18 fields - truncating to 14
2025-04-03T22:37:56.096+0000 [WARNING] Line 165 has 18 fields - truncating to 14
2025-04-03T22:37:56.096+0000 [WARNING] Line 166 has 18 fields - truncating to 14
2025-04-03T22:37:56.097+0000 [WARNING] Line 167 has 18 fields - truncating to 14
2025-04-03T22:37:56.097+0000 [WARNING] Line 168 has 18 fields - truncating to 14
2025-04-03T22:37:56.097+0000 [WARNING] Line 169 has 18 fields - truncating to 14
2025-04-03T22:37:56.098+0000 [WARNING] Line 170 has 18 fields - truncating to 14
2025-04-03T22:37:56.098+0000 [WARNING] Line 175 has 18 fields - truncating to 14
2025-04-03T22:37:56.098+0000 [WARNING] Line 176 has 18 fields - truncating to 14
2025-04-03T22:37:56.098+0000 [WARNING] Line 177 has 18 fields - truncating to 14
2025-04-03T22:37:56.099+0000 [WARNING] Line 178 has 18 fields - truncating to 14
2025-04-03T22:37:56.099+0000 [WARNING] Line 179 has 18 fields - truncating to 14
2025-04-03T22:37:56.099+0000 [WARNING] Line 180 has 18 fields - truncating to 14
2025-04-03T22:37:56.099+0000 [WARNING] Line 181 has 18 fields - truncating to 14
2025-04-03T22:37:56.100+0000 [WARNING] Line 182 has 18 fields - truncating to 14
2025-04-03T22:37:56.100+0000 [WARNING] Line 183 has 18 fields - truncating to 14
2025-04-03T22:37:56.100+0000 [WARNING] Line 184 has 18 fields - truncating to 14
2025-04-03T22:37:56.100+0000 [WARNING] Line 185 has 18 fields - truncating to 14
2025-04-03T22:37:56.101+0000 [WARNING] Line 186 has 18 fields - truncating to 14
2025-04-03T22:37:56.101+0000 [WARNING] Line 191 has 18 fields - truncating to 14
2025-04-03T22:37:56.101+0000 [WARNING] Line 192 has 18 fields - truncating to 14
2025-04-03T22:37:56.101+0000 [WARNING] Line 193 has 18 fields - truncating to 14
2025-04-03T22:37:56.102+0000 [WARNING] Line 194 has 18 fields - truncating to 14
2025-04-03T22:37:56.102+0000 [WARNING] Line 195 has 18 fields - truncating to 14
2025-04-03T22:37:56.102+0000 [WARNING] Line 200 has 18 fields - truncating to 14
2025-04-03T22:37:56.102+0000 [WARNING] Line 201 has 18 fields - truncating to 14
2025-04-03T22:37:56.103+0000 [WARNING] Line 202 has 18 fields - truncating to 14
2025-04-03T22:37:56.103+0000 [WARNING] Line 203 has 18 fields - truncating to 14
2025-04-03T22:37:56.103+0000 [WARNING] Line 204 has 18 fields - truncating to 14
2025-04-03T22:37:56.103+0000 [WARNING] Line 205 has 18 fields - truncating to 14
2025-04-03T22:37:56.104+0000 [WARNING] Line 206 has 18 fields - truncating to 14
2025-04-03T22:37:56.104+0000 [WARNING] Line 207 has 18 fields - truncating to 14
2025-04-03T22:37:56.104+0000 [WARNING] Line 208 has 18 fields - truncating to 14
2025-04-03T22:37:56.104+0000 [WARNING] Line 209 has 18 fields - truncating to 14
2025-04-03T22:37:56.105+0000 [WARNING] Line 210 has 18 fields - truncating to 14
2025-04-03T22:37:56.105+0000 [WARNING] Line 211 has 18 fields - truncating to 14
2025-04-03T22:37:56.105+0000 [WARNING] Line 212 has 18 fields - truncating to 14
2025-04-03T22:37:56.105+0000 [WARNING] Line 213 has 18 fields - truncating to 14
2025-04-03T22:37:56.106+0000 [WARNING] Line 214 has 18 fields - truncating to 14
2025-04-03T22:37:56.106+0000 [WARNING] Line 215 has 18 fields - truncating to 14
2025-04-03T22:37:56.107+0000 [WARNING] Line 216 has 18 fields - truncating to 14
2025-04-03T22:37:56.107+0000 [WARNING] Line 217 has 18 fields - truncating to 14
2025-04-03T22:37:56.107+0000 [WARNING] Line 218 has 18 fields - truncating to 14
2025-04-03T22:37:56.107+0000 [WARNING] Line 219 has 18 fields - truncating to 14
2025-04-03T22:37:56.107+0000 [WARNING] Line 220 has 18 fields - truncating to 14
2025-04-03T22:37:56.108+0000 [WARNING] Line 221 has 18 fields - truncating to 14
2025-04-03T22:37:56.108+0000 [WARNING] Line 222 has 18 fields - truncating to 14
2025-04-03T22:37:56.108+0000 [WARNING] Line 227 has 18 fields - truncating to 14
2025-04-03T22:37:56.108+0000 [WARNING] Line 228 has 18 fields - truncating to 14
2025-04-03T22:37:56.108+0000 [WARNING] Line 229 has 18 fields - truncating to 14
2025-04-03T22:37:56.109+0000 [WARNING] Line 230 has 18 fields - truncating to 14
2025-04-03T22:37:56.109+0000 [WARNING] Line 231 has 18 fields - truncating to 14
2025-04-03T22:37:56.109+0000 [WARNING] Line 232 has 18 fields - truncating to 14
2025-04-03T22:37:56.109+0000 [WARNING] Line 233 has 18 fields - truncating to 14
2025-04-03T22:37:56.110+0000 [WARNING] Line 234 has 18 fields - truncating to 14
2025-04-03T22:37:56.110+0000 [WARNING] Line 235 has 18 fields - truncating to 14
2025-04-03T22:37:56.110+0000 [WARNING] Line 236 has 18 fields - truncating to 14
2025-04-03T22:37:56.110+0000 [WARNING] Line 237 has 18 fields - truncating to 14
2025-04-03T22:37:56.110+0000 [WARNING] Line 238 has 18 fields - truncating to 14
2025-04-03T22:37:56.111+0000 [WARNING] Line 239 has 18 fields - truncating to 14
2025-04-03T22:37:56.111+0000 [WARNING] Line 240 has 18 fields - truncating to 14
2025-04-03T22:37:56.111+0000 [WARNING] Line 241 has 18 fields - truncating to 14
2025-04-03T22:37:56.112+0000 [WARNING] Line 242 has 18 fields - truncating to 14
2025-04-03T22:37:56.112+0000 [WARNING] Line 243 has 18 fields - truncating to 14
2025-04-03T22:37:56.113+0000 [WARNING] Line 244 has 18 fields - truncating to 14
2025-04-03T22:37:56.113+0000 [WARNING] Line 245 has 18 fields - truncating to 14
2025-04-03T22:37:56.113+0000 [WARNING] Line 246 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 247 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 248 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 249 has 18 fields - truncating to 14
2025-04-03T22:37:56.114+0000 [WARNING] Line 250 has 18 fields - truncating to 14
2025-04-03T22:37:56.115+0000 [WARNING] Line 251 has 18 fields - truncating to 14
2025-04-03T22:37:56.115+0000 [WARNING] Line 252 has 18 fields - truncating to 14
