2025-04-04T15:43:17.012+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [queued]>
2025-04-04T15:43:17.020+0000 [INFO] Starting attempt 1 of 4
2025-04-04T15:43:17.030+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 15:42:55.655381+00:00
2025-04-04T15:43:17.033+0000 [INFO] Started process 2246 to run task
2025-04-04T15:43:17.038+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T15:42:55.655381+00:00', '--job-id', '735', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp9a8nqfz6']
2025-04-04T15:43:17.041+0000 [INFO] Job 735: Subtask processing.extract
2025-04-04T15:43:17.107+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-04T15:42:55.655381+00:00 [running]> on host 6adf0d434abe
2025-04-04T15:43:17.489+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T15:42:55.655381+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-04T15:42:55.655381+00:00'
2025-04-04T15:43:17.537+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-04T15:43:17.544+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-04T15:43:17.546+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-04T15:43:17.547+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-04T15:43:17.549+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-04T15:43:17.550+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-04T15:43:17.551+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-04T15:43:17.551+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-04T15:43:17.551+0000 [WARNING] Line 13 has 18 fields - truncating to 14
