2025-04-04T21:45:24.565+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:44:23.281691+00:00 [queued]>
2025-04-04T21:45:24.571+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:44:23.281691+00:00 [queued]>
2025-04-04T21:45:24.571+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:45:24.743+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:44:23.281691+00:00
2025-04-04T21:45:24.748+0000 [INFO] Started process 1965 to run task
2025-04-04T21:45:24.752+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T21:44:23.281691+00:00', '--job-id', '642', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzv9a934d']
2025-04-04T21:45:24.754+0000 [INFO] Job 642: Subtask processing.extract
2025-04-04T21:45:24.790+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:44:23.281691+00:00 [running]> on host b8e5693c89ab
2025-04-04T21:45:24.847+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T21:44:23.281691+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-04T21:44:23.281691+00:00'
2025-04-04T21:45:24.866+0000 [WARNING] Line 5 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.867+0000 [WARNING] Line 6 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.867+0000 [WARNING] Line 7 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 8 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 9 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 10 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 11 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 12 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.868+0000 [WARNING] Line 13 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.869+0000 [WARNING] Line 14 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.869+0000 [WARNING] Line 15 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.869+0000 [WARNING] Line 16 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.869+0000 [WARNING] Line 17 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.869+0000 [WARNING] Line 18 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.870+0000 [WARNING] Line 19 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.870+0000 [WARNING] Line 20 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.870+0000 [WARNING] Line 21 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.871+0000 [WARNING] Line 22 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.871+0000 [WARNING] Line 23 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.871+0000 [WARNING] Line 24 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.871+0000 [WARNING] Line 25 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.871+0000 [WARNING] Line 26 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.872+0000 [WARNING] Line 27 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.872+0000 [WARNING] Line 28 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.872+0000 [WARNING] Line 29 has 18 fields - attempting smart truncation
2025-04-04T21:45:24.872+0000 [WARNING] Line 30 has 18 fields - attempting smart truncation
