2025-04-04T21:48:07.995+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:47:48.720893+00:00 [queued]>
2025-04-04T21:48:08.000+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:47:48.720893+00:00 [queued]>
2025-04-04T21:48:08.000+0000 [INFO] Starting attempt 1 of 4
2025-04-04T21:48:08.092+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 21:47:48.720893+00:00
2025-04-04T21:48:08.095+0000 [INFO] Started process 2157 to run task
2025-04-04T21:48:08.098+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'manual__2025-04-04T21:47:48.720893+00:00', '--job-id', '706', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmplg1shzvc']
2025-04-04T21:48:08.100+0000 [INFO] Job 706: Subtask processing.extract
2025-04-04T21:48:08.127+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract manual__2025-04-04T21:47:48.720893+00:00 [running]> on host b8e5693c89ab
2025-04-04T21:48:08.171+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T21:47:48.720893+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-04T21:47:48.720893+00:00'
2025-04-04T21:48:08.187+0000 [WARNING] Line 5 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.188+0000 [WARNING] Line 6 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.189+0000 [WARNING] Line 7 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.189+0000 [WARNING] Line 8 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 9 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 10 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 11 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 12 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 13 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.190+0000 [WARNING] Line 14 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.191+0000 [WARNING] Line 15 has 18 fields - attempting smart truncation
2025-04-04T21:48:08.191+0000 [WARNING] Line 16 has 18 fields - attempting smart truncation
