2025-04-03T21:38:17.287+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [queued]>
2025-04-03T21:38:17.298+0000 [INFO] Starting attempt 1 of 4
2025-04-03T21:38:17.310+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:37:15.310530+00:00
2025-04-03T21:38:17.317+0000 [INFO] Started process 1483 to run task
2025-04-03T21:38:17.323+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:37:15.310530+00:00', '--job-id', '480', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpzd76z89w']
2025-04-03T21:38:17.326+0000 [INFO] Job 480: Subtask processing.extract
2025-04-03T21:38:17.429+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:37:15.310530+00:00 [running]> on host 6fb8c2781e96
2025-04-03T21:38:18.282+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T21:37:15.310530+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T21:37:15.310530+00:00'
2025-04-03T21:38:18.310+0000 [WARNING] Skipping malformed line 5: Found 18 fields (expected 14)
2025-04-03T21:38:18.310+0000 [WARNING] Skipping malformed line 6: Found 18 fields (expected 14)
2025-04-03T21:38:18.310+0000 [WARNING] Skipping malformed line 7: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 8: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 9: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 10: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 11: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 12: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 13: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 14: Found 18 fields (expected 14)
2025-04-03T21:38:18.311+0000 [WARNING] Skipping malformed line 15: Found 18 fields (expected 14)
2025-04-03T21:38:18.312+0000 [WARNING] Skipping malformed line 16: Found 18 fields (expected 14)
2025-04-03T21:38:18.312+0000 [WARNING] Skipping malformed line 17: Found 18 fields (expected 14)
2025-04-03T21:38:18.312+0000 [WARNING] Skipping malformed line 18: Found 18 fields (expected 14)
2025-04-03T21:38:18.313+0000 [WARNING] Skipping malformed line 19: Found 18 fields (expected 14)
2025-04-03T21:38:18.313+0000 [WARNING] Skipping malformed line 20: Found 18 fields (expected 14)
2025-04-03T21:38:18.313+0000 [WARNING] Skipping malformed line 21: Found 18 fields (expected 14)
2025-04-03T21:38:18.313+0000 [WARNING] Skipping malformed line 22: Found 18 fields (expected 14)
2025-04-03T21:38:18.313+0000 [WARNING] Skipping malformed line 23: Found 18 fields (expected 14)
2025-04-03T21:38:18.314+0000 [WARNING] Skipping malformed line 24: Found 18 fields (expected 14)
2025-04-03T21:38:18.318+0000 [WARNING] Skipping malformed line 25: Found 18 fields (expected 14)
2025-04-03T21:38:18.319+0000 [WARNING] Skipping malformed line 26: Found 18 fields (expected 14)
2025-04-03T21:38:18.320+0000 [WARNING] Skipping malformed line 27: Found 18 fields (expected 14)
2025-04-03T21:38:18.320+0000 [WARNING] Skipping malformed line 28: Found 18 fields (expected 14)
2025-04-03T21:38:18.323+0000 [WARNING] Skipping malformed line 29: Found 18 fields (expected 14)
2025-04-03T21:38:18.323+0000 [WARNING] Skipping malformed line 30: Found 18 fields (expected 14)
2025-04-03T21:38:18.324+0000 [WARNING] Skipping malformed line 31: Found 18 fields (expected 14)
2025-04-03T21:38:18.324+0000 [WARNING] Skipping malformed line 32: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 33: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 34: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 35: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 36: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 37: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 38: Found 18 fields (expected 14)
2025-04-03T21:38:18.325+0000 [WARNING] Skipping malformed line 39: Found 18 fields (expected 14)
2025-04-03T21:38:18.326+0000 [WARNING] Skipping malformed line 40: Found 18 fields (expected 14)
2025-04-03T21:38:18.326+0000 [WARNING] Skipping malformed line 41: Found 18 fields (expected 14)
2025-04-03T21:38:18.326+0000 [WARNING] Skipping malformed line 42: Found 18 fields (expected 14)
2025-04-03T21:38:18.327+0000 [WARNING] Skipping malformed line 43: Found 18 fields (expected 14)
2025-04-03T21:38:18.327+0000 [WARNING] Skipping malformed line 44: Found 18 fields (expected 14)
2025-04-03T21:38:18.328+0000 [WARNING] Skipping malformed line 45: Found 18 fields (expected 14)
2025-04-03T21:38:18.329+0000 [WARNING] Skipping malformed line 46: Found 18 fields (expected 14)
2025-04-03T21:38:18.329+0000 [WARNING] Skipping malformed line 47: Found 18 fields (expected 14)
2025-04-03T21:38:18.330+0000 [WARNING] Skipping malformed line 48: Found 18 fields (expected 14)
2025-04-03T21:38:18.330+0000 [WARNING] Skipping malformed line 49: Found 18 fields (expected 14)
2025-04-03T21:38:18.331+0000 [WARNING] Skipping malformed line 50: Found 18 fields (expected 14)
2025-04-03T21:38:18.331+0000 [WARNING] Skipping malformed line 51: Found 18 fields (expected 14)
2025-04-03T21:38:18.332+0000 [WARNING] Skipping malformed line 52: Found 18 fields (expected 14)
2025-04-03T21:38:18.332+0000 [WARNING] Skipping malformed line 53: Found 18 fields (expected 14)
2025-04-03T21:38:18.332+0000 [WARNING] Skipping malformed line 54: Found 18 fields (expected 14)
2025-04-03T21:38:18.333+0000 [WARNING] Skipping malformed line 55: Found 18 fields (expected 14)
2025-04-03T21:38:18.333+0000 [WARNING] Skipping malformed line 56: Found 18 fields (expected 14)
2025-04-03T21:38:18.334+0000 [WARNING] Skipping malformed line 57: Found 18 fields (expected 14)
2025-04-03T21:38:18.335+0000 [WARNING] Skipping malformed line 58: Found 18 fields (expected 14)
2025-04-03T21:38:18.335+0000 [WARNING] Skipping malformed line 59: Found 18 fields (expected 14)
2025-04-03T21:38:18.335+0000 [WARNING] Skipping malformed line 60: Found 18 fields (expected 14)
2025-04-03T21:38:18.335+0000 [WARNING] Skipping malformed line 61: Found 18 fields (expected 14)
2025-04-03T21:38:18.336+0000 [WARNING] Skipping malformed line 62: Found 18 fields (expected 14)
2025-04-03T21:38:18.336+0000 [WARNING] Skipping malformed line 63: Found 18 fields (expected 14)
2025-04-03T21:38:18.338+0000 [WARNING] Skipping malformed line 64: Found 18 fields (expected 14)
2025-04-03T21:38:18.339+0000 [WARNING] Skipping malformed line 65: Found 18 fields (expected 14)
2025-04-03T21:38:18.339+0000 [WARNING] Skipping malformed line 66: Found 18 fields (expected 14)
2025-04-03T21:38:18.340+0000 [WARNING] Skipping malformed line 67: Found 18 fields (expected 14)
2025-04-03T21:38:18.340+0000 [WARNING] Skipping malformed line 68: Found 18 fields (expected 14)
2025-04-03T21:38:18.341+0000 [WARNING] Skipping malformed line 69: Found 18 fields (expected 14)
2025-04-03T21:38:18.341+0000 [WARNING] Skipping malformed line 70: Found 18 fields (expected 14)
2025-04-03T21:38:18.341+0000 [WARNING] Skipping malformed line 71: Found 18 fields (expected 14)
2025-04-03T21:38:18.341+0000 [WARNING] Skipping malformed line 72: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 73: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 74: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 75: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 76: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 77: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 78: Found 18 fields (expected 14)
2025-04-03T21:38:18.342+0000 [WARNING] Skipping malformed line 79: Found 18 fields (expected 14)
2025-04-03T21:38:18.343+0000 [WARNING] Skipping malformed line 80: Found 18 fields (expected 14)
2025-04-03T21:38:18.343+0000 [WARNING] Skipping malformed line 81: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 82: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 83: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 84: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 85: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 86: Found 18 fields (expected 14)
2025-04-03T21:38:18.344+0000 [WARNING] Skipping malformed line 87: Found 18 fields (expected 14)
2025-04-03T21:38:18.367+0000 [WARNING] Skipping malformed line 88: Found 18 fields (expected 14)
2025-04-03T21:38:18.367+0000 [WARNING] Skipping malformed line 89: Found 18 fields (expected 14)
2025-04-03T21:38:18.368+0000 [WARNING] Skipping malformed line 90: Found 18 fields (expected 14)
2025-04-03T21:38:18.368+0000 [WARNING] Skipping malformed line 91: Found 18 fields (expected 14)
2025-04-03T21:38:18.368+0000 [WARNING] Skipping malformed line 92: Found 18 fields (expected 14)
2025-04-03T21:38:18.368+0000 [WARNING] Skipping malformed line 93: Found 18 fields (expected 14)
2025-04-03T21:38:18.369+0000 [WARNING] Skipping malformed line 94: Found 18 fields (expected 14)
2025-04-03T21:38:18.369+0000 [WARNING] Skipping malformed line 95: Found 18 fields (expected 14)
2025-04-03T21:38:18.369+0000 [WARNING] Skipping malformed line 96: Found 18 fields (expected 14)
2025-04-03T21:38:18.369+0000 [WARNING] Skipping malformed line 97: Found 18 fields (expected 14)
2025-04-03T21:38:18.370+0000 [WARNING] Skipping malformed line 98: Found 18 fields (expected 14)
2025-04-03T21:38:18.370+0000 [WARNING] Skipping malformed line 99: Found 18 fields (expected 14)
2025-04-03T21:38:18.370+0000 [WARNING] Skipping malformed line 100: Found 18 fields (expected 14)
2025-04-03T21:38:18.370+0000 [WARNING] Skipping malformed line 101: Found 18 fields (expected 14)
2025-04-03T21:38:18.370+0000 [WARNING] Skipping malformed line 102: Found 18 fields (expected 14)
