2025-04-03T22:15:08.391+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.400+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [queued]>
2025-04-03T22:15:08.402+0000 [INFO] Starting attempt 2 of 4
2025-04-03T22:15:08.413+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 21:53:45.219886+00:00
2025-04-03T22:15:08.418+0000 [INFO] Started process 1564 to run task
2025-04-03T22:15:08.428+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T21:53:45.219886+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpjdcp82zt']
2025-04-03T22:15:08.471+0000 [INFO] Job 505: Subtask processing.extract
2025-04-03T22:15:08.579+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T21:53:45.219886+00:00 [running]> on host 8d34dc648251
2025-04-03T22:15:11.048+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T21:53:45.219886+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T21:53:45.219886+00:00'
2025-04-03T22:15:11.093+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:15:11.103+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:15:11.105+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:15:11.108+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:15:11.108+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:15:11.109+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:15:11.109+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:15:11.109+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:15:11.110+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:15:11.110+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:15:11.111+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:15:11.111+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:15:11.112+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:15:11.112+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:15:11.112+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-03T22:15:11.112+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-03T22:15:11.113+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:15:11.113+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:15:11.115+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:15:11.116+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:15:11.116+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:15:11.117+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:15:11.119+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:15:11.120+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:15:11.121+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:15:11.121+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:15:11.121+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:15:11.121+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-03T22:15:11.122+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-03T22:15:11.122+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-03T22:15:11.123+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-03T22:15:11.123+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:15:11.123+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:15:11.124+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:15:11.127+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:15:11.128+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:15:11.128+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:15:11.128+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:15:11.128+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:15:11.128+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:15:11.129+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:15:11.129+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:15:11.129+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:15:11.130+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:15:11.130+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:15:11.131+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:15:11.132+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:15:11.133+0000 [WARNING] Line 52 has 18 fields - truncating to 14
