2025-04-03T22:34:11.595+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [queued]>
2025-04-03T22:34:11.634+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [queued]>
2025-04-03T22:34:11.638+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:34:11.657+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:32:57.477413+00:00
2025-04-03T22:34:11.661+0000 [INFO] Started process 1163 to run task
2025-04-03T22:34:11.667+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:32:57.477413+00:00', '--job-id', '375', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmprsdp0nhj']
2025-04-03T22:34:11.675+0000 [INFO] Job 375: Subtask processing.extract
2025-04-03T22:34:11.803+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:32:57.477413+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:34:15.649+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:32:57.477413+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T22:32:57.477413+00:00'
2025-04-03T22:34:15.713+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:34:15.716+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:34:15.716+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:34:15.716+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:34:15.717+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:34:15.717+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:34:15.717+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:34:15.718+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:34:15.718+0000 [WARNING] Line 13 has 18 fields - truncating to 14
