2025-04-03T22:37:15.793+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [queued]>
2025-04-03T22:37:15.816+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [queued]>
2025-04-03T22:37:15.816+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:37:15.835+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:36:13.101621+00:00
2025-04-03T22:37:15.888+0000 [INFO] Started process 1501 to run task
2025-04-03T22:37:15.913+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:36:13.101621+00:00', '--job-id', '487', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp3ywp7_jr']
2025-04-03T22:37:15.926+0000 [INFO] Job 487: Subtask processing.extract
2025-04-03T22:37:16.307+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:36:13.101621+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:37:18.899+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:36:13.101621+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T22:36:13.101621+00:00'
2025-04-03T22:37:18.957+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:37:18.959+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:37:18.961+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:37:18.962+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:37:18.963+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:37:18.984+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:37:18.986+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:37:18.988+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:37:18.994+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:37:19.014+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:37:19.050+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:37:19.141+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:37:19.147+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:37:19.150+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:37:19.186+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:37:19.188+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:37:19.190+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:37:19.191+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:37:19.194+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:37:19.195+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:37:19.197+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:37:19.200+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:37:19.202+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:37:19.203+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:37:19.204+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:37:19.205+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:37:19.205+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:37:19.209+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:37:19.210+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:37:19.211+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:37:19.213+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:37:19.213+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:37:19.214+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:37:19.215+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:37:19.216+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:37:19.216+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:37:19.218+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:37:19.219+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:37:19.219+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:37:19.220+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:37:19.222+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:37:19.223+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:37:19.223+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:37:19.228+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:37:19.229+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:37:19.230+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-03T22:37:19.231+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-03T22:37:19.232+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:37:19.234+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:37:19.235+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:37:19.237+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:37:19.285+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:37:19.286+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:37:19.287+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:37:19.288+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:37:19.289+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:37:19.289+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:37:19.290+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:37:19.291+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:37:19.293+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:37:19.294+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:37:19.295+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:37:19.295+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:37:19.295+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:37:19.296+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:37:19.297+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:37:19.298+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:37:19.299+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:37:19.300+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:37:19.302+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:37:19.302+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:37:19.303+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:37:19.304+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:37:19.306+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:37:19.307+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-03T22:37:19.308+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-03T22:37:19.309+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-03T22:37:19.310+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-03T22:37:19.311+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:37:19.312+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:37:19.313+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:37:19.314+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:37:19.315+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:37:19.315+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:37:19.316+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:37:19.317+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:37:19.317+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:37:19.318+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:37:19.319+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:37:19.319+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-03T22:37:19.320+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-03T22:37:19.321+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-03T22:37:19.321+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-03T22:37:19.322+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-03T22:37:19.322+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-03T22:37:19.323+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-03T22:37:19.324+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-03T22:37:19.324+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-03T22:37:19.325+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-03T22:37:19.325+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-03T22:37:19.325+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-03T22:37:19.326+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-03T22:37:19.326+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-03T22:37:19.327+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-03T22:37:19.328+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-03T22:37:19.329+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-03T22:37:19.330+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-03T22:37:19.330+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-03T22:37:19.331+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-03T22:37:19.332+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-03T22:37:19.333+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-03T22:37:19.333+0000 [WARNING] Line 144 has 18 fields - truncating to 14
2025-04-03T22:37:19.334+0000 [WARNING] Line 145 has 18 fields - truncating to 14
2025-04-03T22:37:19.334+0000 [WARNING] Line 146 has 18 fields - truncating to 14
2025-04-03T22:37:19.334+0000 [WARNING] Line 147 has 18 fields - truncating to 14
2025-04-03T22:37:19.334+0000 [WARNING] Line 148 has 18 fields - truncating to 14
2025-04-03T22:37:19.335+0000 [WARNING] Line 149 has 18 fields - truncating to 14
2025-04-03T22:37:19.335+0000 [WARNING] Line 150 has 18 fields - truncating to 14
2025-04-03T22:37:19.335+0000 [WARNING] Line 155 has 18 fields - truncating to 14
2025-04-03T22:37:19.335+0000 [WARNING] Line 156 has 18 fields - truncating to 14
2025-04-03T22:37:19.336+0000 [WARNING] Line 157 has 18 fields - truncating to 14
2025-04-03T22:37:19.336+0000 [WARNING] Line 162 has 18 fields - truncating to 14
2025-04-03T22:37:19.336+0000 [WARNING] Line 163 has 18 fields - truncating to 14
2025-04-03T22:37:19.336+0000 [WARNING] Line 164 has 18 fields - truncating to 14
2025-04-03T22:37:19.337+0000 [WARNING] Line 165 has 18 fields - truncating to 14
