2025-04-03T22:39:01.095+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:37:44.766953+00:00 [queued]>
2025-04-03T22:39:01.103+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:37:44.766953+00:00 [queued]>
2025-04-03T22:39:01.103+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:39:01.112+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:37:44.766953+00:00
2025-04-03T22:39:01.116+0000 [INFO] Started process 1809 to run task
2025-04-03T22:39:01.119+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:37:44.766953+00:00', '--job-id', '589', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpfacb8f6g']
2025-04-03T22:39:01.120+0000 [INFO] Job 589: Subtask processing.extract
2025-04-03T22:39:01.148+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:37:44.766953+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:39:01.593+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:37:44.766953+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T22:37:44.766953+00:00'
2025-04-03T22:39:01.614+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:39:01.615+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:39:01.615+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:39:01.615+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:39:01.616+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:39:01.616+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:39:01.616+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:39:01.616+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:39:01.616+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:39:01.617+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:39:01.617+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:39:01.617+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:39:01.618+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:39:01.618+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:39:01.618+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-03T22:39:01.618+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:39:01.619+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:39:01.620+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:39:01.620+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:39:01.620+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:39:01.620+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-03T22:39:01.621+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:39:01.622+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:39:01.623+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:39:01.624+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:39:01.624+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:39:01.624+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:39:01.624+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:39:01.624+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:39:01.625+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-03T22:39:01.626+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-03T22:39:01.627+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-03T22:39:01.628+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-03T22:39:01.629+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-03T22:39:01.630+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-03T22:39:01.630+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-03T22:39:01.630+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-03T22:39:01.630+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-03T22:39:01.630+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-03T22:39:01.631+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-03T22:39:01.631+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-03T22:39:01.631+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-03T22:39:01.631+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-03T22:39:01.631+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-03T22:39:01.632+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-03T22:39:01.632+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-03T22:39:01.632+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-03T22:39:01.632+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-03T22:39:01.633+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-03T22:39:01.633+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-03T22:39:01.633+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-03T22:39:01.633+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-03T22:39:01.634+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-03T22:39:01.634+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-03T22:39:01.634+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-03T22:39:01.635+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-03T22:39:01.635+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-03T22:39:01.635+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-03T22:39:01.635+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-03T22:39:01.636+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-03T22:39:01.636+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-03T22:39:01.636+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-03T22:39:01.636+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-03T22:39:01.637+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-03T22:39:01.637+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-03T22:39:01.637+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-03T22:39:01.637+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-03T22:39:01.637+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-03T22:39:01.638+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-03T22:39:01.638+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-03T22:39:01.638+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-03T22:39:01.638+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-03T22:39:01.638+0000 [WARNING] Line 130 has 18 fields - truncating to 14
2025-04-03T22:39:01.639+0000 [WARNING] Line 131 has 18 fields - truncating to 14
2025-04-03T22:39:01.639+0000 [WARNING] Line 132 has 18 fields - truncating to 14
2025-04-03T22:39:01.639+0000 [WARNING] Line 133 has 18 fields - truncating to 14
2025-04-03T22:39:01.639+0000 [WARNING] Line 134 has 18 fields - truncating to 14
2025-04-03T22:39:01.639+0000 [WARNING] Line 135 has 18 fields - truncating to 14
2025-04-03T22:39:01.640+0000 [WARNING] Line 136 has 18 fields - truncating to 14
2025-04-03T22:39:01.640+0000 [WARNING] Line 137 has 18 fields - truncating to 14
2025-04-03T22:39:01.640+0000 [WARNING] Line 138 has 18 fields - truncating to 14
2025-04-03T22:39:01.641+0000 [WARNING] Line 139 has 18 fields - truncating to 14
2025-04-03T22:39:01.641+0000 [WARNING] Line 140 has 18 fields - truncating to 14
2025-04-03T22:39:01.641+0000 [WARNING] Line 141 has 18 fields - truncating to 14
2025-04-03T22:39:01.641+0000 [WARNING] Line 142 has 18 fields - truncating to 14
2025-04-03T22:39:01.642+0000 [WARNING] Line 143 has 18 fields - truncating to 14
2025-04-03T22:39:01.642+0000 [WARNING] Line 144 has 18 fields - truncating to 14
2025-04-03T22:39:01.642+0000 [WARNING] Line 145 has 18 fields - truncating to 14
2025-04-03T22:39:01.642+0000 [WARNING] Line 146 has 18 fields - truncating to 14
2025-04-03T22:39:01.642+0000 [WARNING] Line 147 has 18 fields - truncating to 14
2025-04-03T22:39:01.643+0000 [WARNING] Line 148 has 18 fields - truncating to 14
2025-04-03T22:39:01.643+0000 [WARNING] Line 149 has 18 fields - truncating to 14
2025-04-03T22:39:01.643+0000 [WARNING] Line 150 has 18 fields - truncating to 14
2025-04-03T22:39:01.643+0000 [WARNING] Line 151 has 18 fields - truncating to 14
2025-04-03T22:39:01.643+0000 [WARNING] Line 152 has 18 fields - truncating to 14
2025-04-03T22:39:01.644+0000 [WARNING] Line 153 has 18 fields - truncating to 14
2025-04-03T22:39:01.644+0000 [WARNING] Line 154 has 18 fields - truncating to 14
2025-04-03T22:39:01.644+0000 [WARNING] Line 155 has 18 fields - truncating to 14
2025-04-03T22:39:01.644+0000 [WARNING] Line 156 has 18 fields - truncating to 14
2025-04-03T22:39:01.644+0000 [WARNING] Line 157 has 18 fields - truncating to 14
2025-04-03T22:39:01.645+0000 [WARNING] Line 158 has 18 fields - truncating to 14
2025-04-03T22:39:01.645+0000 [WARNING] Line 159 has 18 fields - truncating to 14
2025-04-03T22:39:01.645+0000 [WARNING] Line 160 has 18 fields - truncating to 14
2025-04-03T22:39:01.645+0000 [WARNING] Line 161 has 18 fields - truncating to 14
2025-04-03T22:39:01.645+0000 [WARNING] Line 162 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 163 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 164 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 165 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 166 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 167 has 18 fields - truncating to 14
2025-04-03T22:39:01.646+0000 [WARNING] Line 168 has 18 fields - truncating to 14
2025-04-03T22:39:01.647+0000 [WARNING] Line 169 has 18 fields - truncating to 14
2025-04-03T22:39:01.647+0000 [WARNING] Line 170 has 18 fields - truncating to 14
2025-04-03T22:39:01.647+0000 [WARNING] Line 171 has 18 fields - truncating to 14
2025-04-03T22:39:01.647+0000 [WARNING] Line 172 has 18 fields - truncating to 14
2025-04-03T22:39:01.647+0000 [WARNING] Line 173 has 18 fields - truncating to 14
2025-04-03T22:39:01.648+0000 [WARNING] Line 174 has 18 fields - truncating to 14
2025-04-03T22:39:01.648+0000 [WARNING] Line 175 has 18 fields - truncating to 14
2025-04-03T22:39:01.648+0000 [WARNING] Line 176 has 18 fields - truncating to 14
2025-04-03T22:39:01.649+0000 [WARNING] Line 177 has 18 fields - truncating to 14
2025-04-03T22:39:01.649+0000 [WARNING] Line 178 has 18 fields - truncating to 14
2025-04-03T22:39:01.649+0000 [WARNING] Line 179 has 18 fields - truncating to 14
2025-04-03T22:39:01.649+0000 [WARNING] Line 180 has 18 fields - truncating to 14
2025-04-03T22:39:01.649+0000 [WARNING] Line 181 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 182 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 183 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 184 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 185 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 186 has 18 fields - truncating to 14
2025-04-03T22:39:01.650+0000 [WARNING] Line 187 has 18 fields - truncating to 14
2025-04-03T22:39:01.651+0000 [WARNING] Line 188 has 18 fields - truncating to 14
2025-04-03T22:39:01.651+0000 [WARNING] Line 189 has 18 fields - truncating to 14
2025-04-03T22:39:01.651+0000 [WARNING] Line 190 has 18 fields - truncating to 14
2025-04-03T22:39:01.652+0000 [WARNING] Line 191 has 18 fields - truncating to 14
2025-04-03T22:39:01.652+0000 [WARNING] Line 192 has 18 fields - truncating to 14
2025-04-03T22:39:01.652+0000 [WARNING] Line 193 has 18 fields - truncating to 14
2025-04-03T22:39:01.652+0000 [WARNING] Line 194 has 18 fields - truncating to 14
