2025-04-03T22:39:34.493+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [queued]>
2025-04-03T22:39:34.504+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [queued]>
2025-04-03T22:39:34.505+0000 [INFO] Starting attempt 1 of 4
2025-04-03T22:39:34.518+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-03 22:38:30.645276+00:00
2025-04-03T22:39:34.522+0000 [INFO] Started process 1908 to run task
2025-04-03T22:39:34.527+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-03T22:38:30.645276+00:00', '--job-id', '623', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp600uthnm']
2025-04-03T22:39:34.529+0000 [INFO] Job 623: Subtask processing.extract
2025-04-03T22:39:34.594+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-03T22:38:30.645276+00:00 [running]> on host 13c9a988b40a
2025-04-03T22:39:35.190+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T22:38:30.645276+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-03T22:38:30.645276+00:00'
2025-04-03T22:39:35.231+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-03T22:39:35.236+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-03T22:39:35.238+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-03T22:39:35.238+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-03T22:39:35.287+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-03T22:39:35.288+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-03T22:39:35.289+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-03T22:39:35.289+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-03T22:39:35.289+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-03T22:39:35.290+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-03T22:39:35.290+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-03T22:39:35.290+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-03T22:39:35.291+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-03T22:39:35.291+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-03T22:39:35.291+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-03T22:39:35.292+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-03T22:39:35.293+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-03T22:39:35.293+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-03T22:39:35.294+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-03T22:39:35.294+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-03T22:39:35.294+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-03T22:39:35.295+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-03T22:39:35.296+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-03T22:39:35.297+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-03T22:39:35.297+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-03T22:39:35.298+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-03T22:39:35.299+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-03T22:39:35.299+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-03T22:39:35.300+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-03T22:39:35.300+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-03T22:39:35.301+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-03T22:39:35.302+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-03T22:39:35.302+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-03T22:39:35.303+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-03T22:39:35.304+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-03T22:39:35.304+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-03T22:39:35.305+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-03T22:39:35.305+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-03T22:39:35.306+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-03T22:39:35.307+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-03T22:39:35.307+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-03T22:39:35.308+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-03T22:39:35.309+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-03T22:39:35.309+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-03T22:39:35.310+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-03T22:39:35.310+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-03T22:39:35.310+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-03T22:39:35.311+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-03T22:39:35.312+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-03T22:39:35.312+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-03T22:39:35.313+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-03T22:39:35.313+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-03T22:39:35.314+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-03T22:39:35.315+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-03T22:39:35.315+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-03T22:39:35.315+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-03T22:39:35.316+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-03T22:39:35.316+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-03T22:39:35.317+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-03T22:39:35.318+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-03T22:39:35.319+0000 [WARNING] Line 65 has 18 fields - truncating to 14
