2025-04-04T15:35:20.684+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T15:34:16.000363+00:00 [queued]>
2025-04-04T15:35:20.690+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T15:34:16.000363+00:00 [queued]>
2025-04-04T15:35:20.690+0000 [INFO] Starting attempt 1 of 4
2025-04-04T15:35:20.696+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 15:34:16.000363+00:00
2025-04-04T15:35:20.699+0000 [INFO] Started process 1893 to run task
2025-04-04T15:35:20.702+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T15:34:16.000363+00:00', '--job-id', '618', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpbyyvitml']
2025-04-04T15:35:20.703+0000 [INFO] Job 618: Subtask processing.extract
2025-04-04T15:35:20.732+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T15:34:16.000363+00:00 [running]> on host 6adf0d434abe
2025-04-04T15:35:20.944+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T15:34:16.000363+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-04T15:34:16.000363+00:00'
2025-04-04T15:35:20.960+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-04T15:35:20.961+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-04T15:35:20.961+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-04T15:35:20.961+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-04T15:35:20.962+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-04T15:35:20.963+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-04T15:35:20.964+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-04T15:35:20.965+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-04T15:35:20.966+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-04T15:35:20.966+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-04T15:35:20.966+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-04T15:35:20.966+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-04T15:35:20.966+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-04T15:35:20.967+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-04T15:35:20.968+0000 [WARNING] Line 60 has 18 fields - truncating to 14
