2025-04-04T16:58:53.253+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [queued]>
2025-04-04T16:58:53.265+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [queued]>
2025-04-04T16:58:53.266+0000 [INFO] Starting attempt 1 of 4
2025-04-04T16:58:53.291+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 16:57:14.344247+00:00
2025-04-04T16:58:53.305+0000 [INFO] Started process 2517 to run task
2025-04-04T16:58:53.315+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T16:57:14.344247+00:00', '--job-id', '826', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmp3odpbs6d']
2025-04-04T16:58:53.319+0000 [INFO] Job 826: Subtask processing.extract
2025-04-04T16:58:53.419+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T16:57:14.344247+00:00 [running]> on host 6adf0d434abe
2025-04-04T16:58:55.201+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T16:57:14.344247+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-04T16:57:14.344247+00:00'
2025-04-04T16:58:55.300+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-04T16:58:55.301+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-04T16:58:55.345+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-04T16:58:55.345+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-04T16:58:55.346+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-04T16:58:55.346+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-04T16:58:55.346+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-04T16:58:55.347+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-04T16:58:55.347+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-04T16:58:55.347+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-04T16:58:55.347+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-04T16:58:55.348+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-04T16:58:55.348+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-04T16:58:55.348+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-04T16:58:55.349+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-04T16:58:55.349+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-04T16:58:55.349+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-04T16:58:55.349+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-04T16:58:55.350+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-04T16:58:55.350+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-04T16:58:55.350+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-04T16:58:55.350+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-04T16:58:55.351+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-04T16:58:55.351+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-04T16:58:55.351+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-04T16:58:55.352+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-04T16:58:55.352+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-04T16:58:55.352+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-04T16:58:55.352+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-04T16:58:55.353+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-04T16:58:55.353+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-04T16:58:55.353+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-04T16:58:55.353+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-04T16:58:55.354+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-04T16:58:55.354+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-04T16:58:55.354+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-04T16:58:55.355+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-04T16:58:55.355+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-04T16:58:55.356+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-04T16:58:55.356+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-04T16:58:55.356+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-04T16:58:55.356+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-04T16:58:55.356+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-04T16:58:55.357+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-04T16:58:55.357+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-04T16:58:55.357+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-04T16:58:55.357+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-04T16:58:55.358+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-04T16:58:55.358+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-04T16:58:55.358+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-04T16:58:55.358+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-04T16:58:55.359+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-04T16:58:55.359+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-04T16:58:55.359+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-04T16:58:55.360+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-04T16:58:55.360+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-04T16:58:55.360+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-04T16:58:55.361+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-04T16:58:55.361+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-04T16:58:55.361+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-04T16:58:55.361+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-04T16:58:55.362+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-04T16:58:55.362+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-04T16:58:55.362+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-04T16:58:55.362+0000 [WARNING] Line 69 has 18 fields - truncating to 14
