2025-04-04T17:32:03.160+0000 [INFO] Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T17:29:58.403931+00:00 [queued]>
2025-04-04T17:32:03.209+0000 [INFO] Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T17:29:58.403931+00:00 [queued]>
2025-04-04T17:32:03.209+0000 [INFO] Starting attempt 1 of 4
2025-04-04T17:32:03.226+0000 [INFO] Executing <Task(PythonOperator): processing.extract> on 2025-04-04 17:29:58.403931+00:00
2025-04-04T17:32:03.236+0000 [INFO] Started process 2654 to run task
2025-04-04T17:32:03.242+0000 [INFO] Running: ['airflow', 'tasks', 'run', 'iis_etl', 'processing.extract', 'scheduled__2025-04-04T17:29:58.403931+00:00', '--job-id', '871', '--raw', '--subdir', 'DAGS_FOLDER/iis_etl.py', '--cfg-path', '/tmp/tmpge46rbbb']
2025-04-04T17:32:03.245+0000 [INFO] Job 871: Subtask processing.extract
2025-04-04T17:32:03.357+0000 [INFO] Running <TaskInstance: iis_etl.processing.extract scheduled__2025-04-04T17:29:58.403931+00:00 [running]> on host 6adf0d434abe
2025-04-04T17:32:04.145+0000 [INFO] Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='iis_etl' AIRFLOW_CTX_TASK_ID='processing.extract' AIRFLOW_CTX_EXECUTION_DATE='2025-04-04T17:29:58.403931+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-04T17:29:58.403931+00:00'
2025-04-04T17:32:04.230+0000 [WARNING] Line 5 has 18 fields - truncating to 14
2025-04-04T17:32:04.235+0000 [WARNING] Line 6 has 18 fields - truncating to 14
2025-04-04T17:32:04.235+0000 [WARNING] Line 7 has 18 fields - truncating to 14
2025-04-04T17:32:04.236+0000 [WARNING] Line 8 has 18 fields - truncating to 14
2025-04-04T17:32:04.236+0000 [WARNING] Line 9 has 18 fields - truncating to 14
2025-04-04T17:32:04.237+0000 [WARNING] Line 10 has 18 fields - truncating to 14
2025-04-04T17:32:04.237+0000 [WARNING] Line 11 has 18 fields - truncating to 14
2025-04-04T17:32:04.238+0000 [WARNING] Line 12 has 18 fields - truncating to 14
2025-04-04T17:32:04.238+0000 [WARNING] Line 13 has 18 fields - truncating to 14
2025-04-04T17:32:04.239+0000 [WARNING] Line 14 has 18 fields - truncating to 14
2025-04-04T17:32:04.239+0000 [WARNING] Line 15 has 18 fields - truncating to 14
2025-04-04T17:32:04.240+0000 [WARNING] Line 16 has 18 fields - truncating to 14
2025-04-04T17:32:04.240+0000 [WARNING] Line 17 has 18 fields - truncating to 14
2025-04-04T17:32:04.241+0000 [WARNING] Line 18 has 18 fields - truncating to 14
2025-04-04T17:32:04.242+0000 [WARNING] Line 19 has 18 fields - truncating to 14
2025-04-04T17:32:04.242+0000 [WARNING] Line 20 has 18 fields - truncating to 14
2025-04-04T17:32:04.242+0000 [WARNING] Line 21 has 18 fields - truncating to 14
2025-04-04T17:32:04.243+0000 [WARNING] Line 22 has 18 fields - truncating to 14
2025-04-04T17:32:04.243+0000 [WARNING] Line 23 has 18 fields - truncating to 14
2025-04-04T17:32:04.244+0000 [WARNING] Line 24 has 18 fields - truncating to 14
2025-04-04T17:32:04.245+0000 [WARNING] Line 25 has 18 fields - truncating to 14
2025-04-04T17:32:04.245+0000 [WARNING] Line 26 has 18 fields - truncating to 14
2025-04-04T17:32:04.246+0000 [WARNING] Line 27 has 18 fields - truncating to 14
2025-04-04T17:32:04.246+0000 [WARNING] Line 28 has 18 fields - truncating to 14
2025-04-04T17:32:04.246+0000 [WARNING] Line 29 has 18 fields - truncating to 14
2025-04-04T17:32:04.247+0000 [WARNING] Line 30 has 18 fields - truncating to 14
2025-04-04T17:32:04.248+0000 [WARNING] Line 31 has 18 fields - truncating to 14
2025-04-04T17:32:04.249+0000 [WARNING] Line 32 has 18 fields - truncating to 14
2025-04-04T17:32:04.249+0000 [WARNING] Line 33 has 18 fields - truncating to 14
2025-04-04T17:32:04.249+0000 [WARNING] Line 34 has 18 fields - truncating to 14
2025-04-04T17:32:04.251+0000 [WARNING] Line 35 has 18 fields - truncating to 14
2025-04-04T17:32:04.251+0000 [WARNING] Line 36 has 18 fields - truncating to 14
2025-04-04T17:32:04.252+0000 [WARNING] Line 37 has 18 fields - truncating to 14
2025-04-04T17:32:04.253+0000 [WARNING] Line 38 has 18 fields - truncating to 14
2025-04-04T17:32:04.254+0000 [WARNING] Line 39 has 18 fields - truncating to 14
2025-04-04T17:32:04.254+0000 [WARNING] Line 40 has 18 fields - truncating to 14
2025-04-04T17:32:04.255+0000 [WARNING] Line 41 has 18 fields - truncating to 14
2025-04-04T17:32:04.255+0000 [WARNING] Line 42 has 18 fields - truncating to 14
2025-04-04T17:32:04.256+0000 [WARNING] Line 43 has 18 fields - truncating to 14
2025-04-04T17:32:04.257+0000 [WARNING] Line 44 has 18 fields - truncating to 14
2025-04-04T17:32:04.257+0000 [WARNING] Line 45 has 18 fields - truncating to 14
2025-04-04T17:32:04.258+0000 [WARNING] Line 46 has 18 fields - truncating to 14
2025-04-04T17:32:04.258+0000 [WARNING] Line 47 has 18 fields - truncating to 14
2025-04-04T17:32:04.258+0000 [WARNING] Line 48 has 18 fields - truncating to 14
2025-04-04T17:32:04.259+0000 [WARNING] Line 49 has 18 fields - truncating to 14
2025-04-04T17:32:04.260+0000 [WARNING] Line 50 has 18 fields - truncating to 14
2025-04-04T17:32:04.261+0000 [WARNING] Line 51 has 18 fields - truncating to 14
2025-04-04T17:32:04.261+0000 [WARNING] Line 52 has 18 fields - truncating to 14
2025-04-04T17:32:04.261+0000 [WARNING] Line 53 has 18 fields - truncating to 14
2025-04-04T17:32:04.305+0000 [WARNING] Line 54 has 18 fields - truncating to 14
2025-04-04T17:32:04.305+0000 [WARNING] Line 55 has 18 fields - truncating to 14
2025-04-04T17:32:04.305+0000 [WARNING] Line 56 has 18 fields - truncating to 14
2025-04-04T17:32:04.306+0000 [WARNING] Line 57 has 18 fields - truncating to 14
2025-04-04T17:32:04.306+0000 [WARNING] Line 58 has 18 fields - truncating to 14
2025-04-04T17:32:04.306+0000 [WARNING] Line 59 has 18 fields - truncating to 14
2025-04-04T17:32:04.307+0000 [WARNING] Line 60 has 18 fields - truncating to 14
2025-04-04T17:32:04.307+0000 [WARNING] Line 61 has 18 fields - truncating to 14
2025-04-04T17:32:04.307+0000 [WARNING] Line 62 has 18 fields - truncating to 14
2025-04-04T17:32:04.308+0000 [WARNING] Line 63 has 18 fields - truncating to 14
2025-04-04T17:32:04.308+0000 [WARNING] Line 64 has 18 fields - truncating to 14
2025-04-04T17:32:04.308+0000 [WARNING] Line 65 has 18 fields - truncating to 14
2025-04-04T17:32:04.309+0000 [WARNING] Line 66 has 18 fields - truncating to 14
2025-04-04T17:32:04.310+0000 [WARNING] Line 67 has 18 fields - truncating to 14
2025-04-04T17:32:04.310+0000 [WARNING] Line 68 has 18 fields - truncating to 14
2025-04-04T17:32:04.311+0000 [WARNING] Line 69 has 18 fields - truncating to 14
2025-04-04T17:32:04.312+0000 [WARNING] Line 70 has 18 fields - truncating to 14
2025-04-04T17:32:04.314+0000 [WARNING] Line 71 has 18 fields - truncating to 14
2025-04-04T17:32:04.316+0000 [WARNING] Line 72 has 18 fields - truncating to 14
2025-04-04T17:32:04.317+0000 [WARNING] Line 73 has 18 fields - truncating to 14
2025-04-04T17:32:04.318+0000 [WARNING] Line 74 has 18 fields - truncating to 14
2025-04-04T17:32:04.319+0000 [WARNING] Line 75 has 18 fields - truncating to 14
2025-04-04T17:32:04.320+0000 [WARNING] Line 76 has 18 fields - truncating to 14
2025-04-04T17:32:04.322+0000 [WARNING] Line 77 has 18 fields - truncating to 14
2025-04-04T17:32:04.322+0000 [WARNING] Line 78 has 18 fields - truncating to 14
2025-04-04T17:32:04.323+0000 [WARNING] Line 79 has 18 fields - truncating to 14
2025-04-04T17:32:04.324+0000 [WARNING] Line 80 has 18 fields - truncating to 14
2025-04-04T17:32:04.325+0000 [WARNING] Line 81 has 18 fields - truncating to 14
2025-04-04T17:32:04.326+0000 [WARNING] Line 82 has 18 fields - truncating to 14
2025-04-04T17:32:04.326+0000 [WARNING] Line 83 has 18 fields - truncating to 14
2025-04-04T17:32:04.327+0000 [WARNING] Line 84 has 18 fields - truncating to 14
2025-04-04T17:32:04.328+0000 [WARNING] Line 85 has 18 fields - truncating to 14
2025-04-04T17:32:04.329+0000 [WARNING] Line 86 has 18 fields - truncating to 14
2025-04-04T17:32:04.330+0000 [WARNING] Line 87 has 18 fields - truncating to 14
2025-04-04T17:32:04.330+0000 [WARNING] Line 88 has 18 fields - truncating to 14
2025-04-04T17:32:04.331+0000 [WARNING] Line 89 has 18 fields - truncating to 14
2025-04-04T17:32:04.332+0000 [WARNING] Line 90 has 18 fields - truncating to 14
2025-04-04T17:32:04.332+0000 [WARNING] Line 91 has 18 fields - truncating to 14
2025-04-04T17:32:04.333+0000 [WARNING] Line 92 has 18 fields - truncating to 14
2025-04-04T17:32:04.333+0000 [WARNING] Line 93 has 18 fields - truncating to 14
2025-04-04T17:32:04.334+0000 [WARNING] Line 94 has 18 fields - truncating to 14
2025-04-04T17:32:04.334+0000 [WARNING] Line 95 has 18 fields - truncating to 14
2025-04-04T17:32:04.334+0000 [WARNING] Line 96 has 18 fields - truncating to 14
2025-04-04T17:32:04.335+0000 [WARNING] Line 97 has 18 fields - truncating to 14
2025-04-04T17:32:04.335+0000 [WARNING] Line 98 has 18 fields - truncating to 14
2025-04-04T17:32:04.335+0000 [WARNING] Line 99 has 18 fields - truncating to 14
2025-04-04T17:32:04.335+0000 [WARNING] Line 100 has 18 fields - truncating to 14
2025-04-04T17:32:04.335+0000 [WARNING] Line 101 has 18 fields - truncating to 14
2025-04-04T17:32:04.336+0000 [WARNING] Line 102 has 18 fields - truncating to 14
2025-04-04T17:32:04.336+0000 [WARNING] Line 103 has 18 fields - truncating to 14
2025-04-04T17:32:04.336+0000 [WARNING] Line 104 has 18 fields - truncating to 14
2025-04-04T17:32:04.336+0000 [WARNING] Line 105 has 18 fields - truncating to 14
2025-04-04T17:32:04.337+0000 [WARNING] Line 106 has 18 fields - truncating to 14
2025-04-04T17:32:04.337+0000 [WARNING] Line 107 has 18 fields - truncating to 14
2025-04-04T17:32:04.337+0000 [WARNING] Line 108 has 18 fields - truncating to 14
2025-04-04T17:32:04.338+0000 [WARNING] Line 109 has 18 fields - truncating to 14
2025-04-04T17:32:04.338+0000 [WARNING] Line 110 has 18 fields - truncating to 14
2025-04-04T17:32:04.339+0000 [WARNING] Line 111 has 18 fields - truncating to 14
2025-04-04T17:32:04.340+0000 [WARNING] Line 112 has 18 fields - truncating to 14
2025-04-04T17:32:04.341+0000 [WARNING] Line 113 has 18 fields - truncating to 14
2025-04-04T17:32:04.341+0000 [WARNING] Line 114 has 18 fields - truncating to 14
2025-04-04T17:32:04.342+0000 [WARNING] Line 115 has 18 fields - truncating to 14
2025-04-04T17:32:04.342+0000 [WARNING] Line 116 has 18 fields - truncating to 14
2025-04-04T17:32:04.342+0000 [WARNING] Line 117 has 18 fields - truncating to 14
2025-04-04T17:32:04.342+0000 [WARNING] Line 118 has 18 fields - truncating to 14
2025-04-04T17:32:04.343+0000 [WARNING] Line 119 has 18 fields - truncating to 14
2025-04-04T17:32:04.343+0000 [WARNING] Line 120 has 18 fields - truncating to 14
2025-04-04T17:32:04.343+0000 [WARNING] Line 121 has 18 fields - truncating to 14
2025-04-04T17:32:04.343+0000 [WARNING] Line 122 has 18 fields - truncating to 14
2025-04-04T17:32:04.343+0000 [WARNING] Line 123 has 18 fields - truncating to 14
2025-04-04T17:32:04.344+0000 [WARNING] Line 124 has 18 fields - truncating to 14
2025-04-04T17:32:04.344+0000 [WARNING] Line 125 has 18 fields - truncating to 14
2025-04-04T17:32:04.344+0000 [WARNING] Line 126 has 18 fields - truncating to 14
2025-04-04T17:32:04.345+0000 [WARNING] Line 127 has 18 fields - truncating to 14
2025-04-04T17:32:04.345+0000 [WARNING] Line 128 has 18 fields - truncating to 14
2025-04-04T17:32:04.345+0000 [WARNING] Line 129 has 18 fields - truncating to 14
2025-04-04T17:32:04.345+0000 [WARNING] Line 130 has 18 fields - truncating to 14
